epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.674,1.2707,2.24581,1.39342,0.35795,0.36704,0.26525,0.15968,1.49059,2.39875,1.59444,0.000553008,0.000553008,0.000553008
2,178.412,1.38888,2.06518,1.48593,0.34076,0.35215,0.26566,0.15058,1.55693,2.52835,1.65073,0.00108672,0.00108672,0.00108672
3,263.256,1.43535,2.04185,1.51626,0.29838,0.3289,0.23746,0.12301,1.62596,2.39682,1.69365,0.00159843,0.00159843,0.00159843
4,349.707,1.45207,2.02419,1.54491,0.34613,0.38278,0.28261,0.15319,1.57276,2.19365,1.69272,0.00156798,0.00156798,0.00156798
5,436.366,1.41948,1.94931,1.51148,0.37818,0.38719,0.31882,0.18579,1.50874,2.13296,1.59559,0.00153497,0.00153497,0.00153497
6,521.291,1.39318,1.90759,1.49304,0.34117,0.34802,0.26007,0.15225,1.52555,2.06811,1.63615,0.00150197,0.00150197,0.00150197
7,606.246,1.35102,1.8326,1.46811,0.37712,0.38216,0.29572,0.17488,1.44242,2.24257,1.58326,0.00146896,0.00146896,0.00146896
8,689.94,1.34735,1.80727,1.46151,0.43394,0.41676,0.36829,0.22409,1.43001,1.81081,1.54026,0.00143595,0.00143595,0.00143595
9,774.207,1.33816,1.78817,1.45221,0.47815,0.42954,0.39211,0.24552,1.40186,1.82487,1.49639,0.00140295,0.00140295,0.00140295
10,858.202,1.3117,1.74379,1.44924,0.4568,0.42462,0.40066,0.24227,1.41807,1.7469,1.54509,0.00136994,0.00136994,0.00136994
11,941.982,1.30681,1.70755,1.44273,0.44796,0.42266,0.37995,0.24128,1.40356,1.72197,1.52333,0.00133693,0.00133693,0.00133693
12,1025.97,1.26927,1.67358,1.42519,0.45624,0.4236,0.37737,0.23627,1.36106,1.83694,1.49349,0.00130393,0.00130393,0.00130393
13,1110.02,1.26127,1.62122,1.40484,0.44135,0.45964,0.40017,0.24853,1.34898,1.8107,1.47166,0.00127092,0.00127092,0.00127092
14,1194.47,1.25948,1.62405,1.41078,0.47361,0.47537,0.43125,0.27425,1.32756,1.64148,1.45975,0.00123791,0.00123791,0.00123791
15,1278.52,1.25487,1.60201,1.3999,0.4912,0.47457,0.45013,0.27862,1.30502,1.5885,1.44159,0.00120491,0.00120491,0.00120491
16,1362.54,1.2256,1.57126,1.38931,0.48192,0.49648,0.46771,0.29201,1.31798,1.58786,1.44749,0.0011719,0.0011719,0.0011719
17,1447.13,1.21769,1.55904,1.37505,0.45726,0.49381,0.42533,0.27512,1.29528,1.66985,1.43282,0.00113889,0.00113889,0.00113889
18,1532.21,1.21706,1.54815,1.37823,0.52091,0.47145,0.45985,0.29342,1.32228,1.6387,1.45776,0.00110589,0.00110589,0.00110589
19,1617.91,1.21389,1.54105,1.36944,0.49794,0.47731,0.44956,0.2896,1.27826,1.60415,1.4242,0.00107288,0.00107288,0.00107288
20,1704.1,1.19355,1.50075,1.35561,0.50673,0.49194,0.44521,0.28056,1.30246,1.59982,1.43349,0.00103987,0.00103987,0.00103987
21,1789.71,1.19182,1.49538,1.35432,0.49256,0.50068,0.45511,0.29248,1.29523,1.57438,1.44207,0.00100687,0.00100687,0.00100687
22,1875.15,1.19596,1.47942,1.34168,0.53369,0.49035,0.48025,0.31436,1.28144,1.49305,1.41928,0.000973861,0.000973861,0.000973861
23,1960.97,1.17222,1.43445,1.34404,0.47735,0.48937,0.43485,0.2812,1.26505,1.66495,1.41997,0.000940855,0.000940855,0.000940855
24,2046.24,1.17267,1.43766,1.33792,0.51203,0.52476,0.4896,0.32112,1.26476,1.50051,1.39849,0.000907848,0.000907848,0.000907848
25,2131.2,1.16941,1.40954,1.33534,0.52229,0.48446,0.47269,0.31433,1.27833,1.58457,1.42141,0.000874842,0.000874842,0.000874842
26,2215.61,1.15124,1.40574,1.31978,0.5603,0.50024,0.49922,0.32464,1.25401,1.47588,1.38699,0.000841835,0.000841835,0.000841835
27,2299.83,1.15258,1.38228,1.32242,0.53541,0.49949,0.48779,0.31596,1.26583,1.47863,1.4051,0.000808828,0.000808828,0.000808828
28,2384.39,1.14231,1.36011,1.31541,0.53296,0.51678,0.50976,0.33642,1.25527,1.50387,1.39765,0.000775822,0.000775822,0.000775822
29,2469.09,1.14849,1.35468,1.31859,0.52595,0.47981,0.4601,0.29387,1.24483,1.58968,1.38852,0.000742815,0.000742815,0.000742815
30,2555.09,1.13532,1.34878,1.31563,0.56589,0.50472,0.50481,0.32917,1.24439,1.49312,1.38921,0.000709809,0.000709809,0.000709809
31,2640.73,1.12066,1.31908,1.29031,0.55291,0.5245,0.5097,0.33763,1.23792,1.43863,1.37818,0.000676802,0.000676802,0.000676802
32,2726.03,1.12307,1.31906,1.29563,0.53787,0.53084,0.50061,0.33189,1.24642,1.46673,1.40103,0.000643795,0.000643795,0.000643795
33,2809.93,1.10558,1.27535,1.29124,0.57083,0.49437,0.48671,0.31066,1.23794,1.48467,1.37888,0.000610789,0.000610789,0.000610789
34,2893.9,1.10912,1.28875,1.29485,0.54709,0.50924,0.48471,0.32278,1.21893,1.52473,1.38212,0.000577782,0.000577782,0.000577782
35,2977.46,1.08687,1.28455,1.28622,0.54353,0.53583,0.51444,0.33891,1.22155,1.44664,1.36521,0.000544776,0.000544776,0.000544776
36,3060.4,1.08053,1.24894,1.27853,0.54879,0.54267,0.5143,0.33421,1.23319,1.45853,1.38644,0.000511769,0.000511769,0.000511769
37,3144.65,1.09151,1.24303,1.275,0.56187,0.52639,0.50801,0.32821,1.22182,1.45597,1.36713,0.000478762,0.000478762,0.000478762
38,3228.9,1.0695,1.22111,1.27392,0.57607,0.51045,0.50836,0.34011,1.23007,1.45497,1.38307,0.000445756,0.000445756,0.000445756
39,3313,1.05715,1.19149,1.26121,0.55419,0.52097,0.49902,0.32987,1.23436,1.44639,1.3753,0.000412749,0.000412749,0.000412749
40,3396.56,1.0698,1.17916,1.26181,0.55598,0.5475,0.52606,0.34819,1.2069,1.41631,1.36214,0.000379743,0.000379743,0.000379743
41,3479.26,1.07384,1.20264,1.27035,0.54249,0.5309,0.50205,0.32779,1.21928,1.48151,1.36791,0.000346736,0.000346736,0.000346736
42,3560.47,1.05484,1.12366,1.26634,0.54575,0.53001,0.50424,0.33353,1.218,1.47453,1.36766,0.000313729,0.000313729,0.000313729
43,3642.38,1.0293,1.08355,1.23537,0.58047,0.50739,0.51556,0.34146,1.20976,1.46432,1.35819,0.000280723,0.000280723,0.000280723
44,3722.47,1.02727,1.09189,1.24454,0.5612,0.53626,0.52742,0.3496,1.21511,1.44092,1.37012,0.000247716,0.000247716,0.000247716
45,3803.68,1.02334,1.05663,1.24294,0.57059,0.54277,0.52281,0.34812,1.21552,1.44899,1.37308,0.00021471,0.00021471,0.00021471
46,3885.19,1.0113,1.0493,1.23696,0.55953,0.54987,0.51937,0.34432,1.21516,1.45609,1.37633,0.000181703,0.000181703,0.000181703
47,3964.99,1.00574,1.01864,1.21977,0.5703,0.54491,0.52353,0.3467,1.20904,1.44309,1.36508,0.000148696,0.000148696,0.000148696
48,4045.79,0.99546,0.99325,1.21871,0.5931,0.52235,0.52233,0.34531,1.21195,1.45941,1.36969,0.00011569,0.00011569,0.00011569
49,4126.13,0.99223,0.99951,1.21329,0.55492,0.5397,0.51605,0.34179,1.21287,1.46021,1.37012,8.26832e-05,8.26832e-05,8.26832e-05
50,4206.6,0.98147,0.97418,1.21086,0.5671,0.53513,0.52265,0.34837,1.20993,1.45411,1.36876,4.96766e-05,4.96766e-05,4.96766e-05
